OSM_id,X_Noise_DB
23137130,55.0
23137132,55.0
23137238,55.0
23137238,55.0
23137245,55.0
23137245,55.0
23305048,55.0
23305048,55.0
23910088,55.0
23910088,55.0
23910088,55.0
23910088,55.0
23910088,55.0
23910088,55.0
23965249,55.0
24276196,55.0
24339495,55.0
24342434,55.0
24342437,55.0
24342442,55.0
24342442,55.0
24342442,55.0
24342442,55.0
24342459,55.0
24342459,55.0
24342460,55.0
24618820,55.0
24619097,55.0
24619101,55.0
24810330,55.0
24810330,55.0
24810330,55.0
24810330,55.0
24810330,55.0
24810330,55.0
24810330,55.0
24820270,55.0
24820270,55.0
24820520,55.0
24820520,55.0
24820520,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820643,55.0
24820936,55.0
25506026,55.0
25506026,55.0
25506026,55.0
25506026,55.0
25508134,55.0
25508134,55.0
25508134,55.0
25508134,55.0
25562233,55.0
25562233,55.0
25888160,55.0
25888160,55.0
25889115,55.0
25889276,55.0
25890333,55.0
25890335,55.0
25890335,55.0
25890335,55.0
25890336,55.0
25890390,55.0
25890613,55.0
25890899,55.0
25891118,55.0
25891319,55.0
25891513,55.0
25891513,55.0
25891686,55.0
25891686,55.0
25891687,55.0
25891688,55.0
25891878,55.0
25891879,55.0
25891879,55.0
25891879,55.0
25891879,55.0
25929079,55.0
25929079,55.0
26243977,55.0
26243977,55.0
26243977,55.0
26243977,55.0
26295692,55.0
26303317,55.0
26303321,55.0
26314190,55.0
26608526,55.0
26608526,55.0
26608526,55.0
26608526,55.0
27052110,55.0
27126564,55.0
27126564,55.0
27126565,55.0
27126565,55.0
27126568,55.0
27126568,55.0
27132751,55.0
27132751,55.0
27132752,55.0
27132752,55.0
27132752,55.0
27132752,55.0
27132753,55.0
27132753,55.0
27132753,55.0
27132753,55.0
27132753,55.0
27132777,55.0
27132777,55.0
27150667,55.0
27150667,55.0
27150667,55.0
27150667,55.0
27150667,55.0
27150668,55.0
27153537,55.0
27153727,55.0
27153727,55.0
27170024,55.0
27279817,55.0
27280125,55.0
27308067,55.0
27308067,55.0
27308481,55.0
27308482,55.0
27308482,55.0
27308483,55.0
27308484,55.0
27308484,55.0
27309473,55.0
27309474,55.0
27309474,55.0
27309796,55.0
27309796,55.0
27309796,55.0
27309796,55.0
27309796,55.0
27309796,55.0
27309796,55.0
27310030,55.0
27310030,55.0
27310032,55.0
27310032,55.0
27310189,55.0
27310189,55.0
27310442,55.0
27310442,55.0
27467120,55.0
27467120,55.0
27470479,55.0
27470479,55.0
27470480,55.0
27480171,55.0
27480172,55.0
27491220,55.0
27491220,55.0
27491220,55.0
27491220,55.0
27491467,55.0
27491616,55.0
27491616,55.0
27491617,55.0
27491617,55.0
27496987,55.0
27554804,55.0
27601069,55.0
27602732,55.0
27603522,55.0
27769773,55.0
27769773,55.0
27769773,55.0
27769773,55.0
27769773,55.0
27769773,55.0
27769773,55.0
27769792,55.0
27769792,55.0
27769792,55.0
27769792,55.0
27769793,55.0
27772611,55.0
27772611,55.0
28360613,55.0
28360662,55.0
28360662,55.0
28360662,55.0
28360662,55.0
28442466,55.0
29035595,55.0
29695799,55.0
29753042,55.0
29753042,55.0
29753042,55.0
29978787,55.0
30085550,55.0
30118292,55.0
30118292,55.0
30134403,55.0
30134403,55.0
30134403,55.0
30239907,55.0
30239907,55.0
30240174,55.0
30240174,55.0
30240181,55.0
30240762,55.0
30240861,55.0
30240861,55.0
30240861,55.0
30240861,55.0
30242610,55.0
30242610,55.0
30242617,55.0
30242654,55.0
30242770,55.0
30242770,55.0
30243328,55.0
30243328,55.0
30243615,55.0
30243615,55.0
30253007,55.0
30253007,55.0
30617421,55.0
30617423,55.0
30617424,55.0
30617424,55.0
30617532,55.0
30617764,55.0
30617764,55.0
30617764,55.0
30617764,55.0
30617802,55.0
30728486,55.0
30728489,55.0
30728489,55.0
30728489,55.0
30836603,55.0
30836603,55.0
30881250,55.0
31279907,55.0
31523484,55.0
31523484,55.0
31523920,55.0
31523923,55.0
31524090,55.0
31524090,55.0
31525022,55.0
31525022,55.0
31525022,55.0
31722219,55.0
31956579,55.0
31956579,55.0
32473586,55.0
32810705,55.0
32810705,55.0
32810705,55.0
32810705,55.0
32810745,55.0
32810812,55.0
32810840,55.0
32810840,55.0
33746969,55.0
33788749,55.0
33805471,55.0
33805471,55.0
33849621,55.0
33849621,55.0
33911209,55.0
33922252,55.0
33922252,55.0
33922886,55.0
33922886,55.0
33923232,55.0
33923232,55.0
33924705,55.0
33924719,55.0
33924719,55.0
33924719,55.0
33924733,55.0
33924733,55.0
33924733,55.0
33924733,55.0
34012589,55.0
34012589,55.0
34012589,55.0
34012589,55.0
34012612,55.0
34012626,55.0
34012626,55.0
34012626,55.0
34012626,55.0
34012654,55.0
34012654,55.0
34012654,55.0
34012654,55.0
34013143,55.0
34013143,55.0
34013184,55.0
34156691,55.0
34156691,55.0
34511593,55.0
34555785,55.0
34555790,55.0
34555790,55.0
34945259,55.0
34945259,55.0
35356131,55.0
35356131,55.0
35356131,55.0
35356131,55.0
35356133,55.0
35356133,55.0
