index,OSM_id
370,26972073
371,26972146
372,26972500
373,26972882
374,26999628
375,27009040
376,27009157
377,27061206
378,27087219
379,27087656
380,27087738
381,27087739
382,27093114
383,27093612
384,27094524
385,27094825
386,27126565
387,27150948
388,27155005
389,27155228
390,27169238
391,27169288
392,27170059
393,27176588
394,27191827
395,27193200
396,27193233
397,27205799
398,27222300
399,27245256
400,27245259
401,27285106
402,27285107
403,27298987
404,27299911
405,27309796
406,27321413
407,27323316
408,27326675
409,27326779
410,27329584
411,27413055
412,27460131
413,27558094
414,27600691
415,27601363
416,27769773
417,27945963
418,27945997
419,27945998
420,27945999
421,27946000
422,27996310
423,28111031
424,28141431
425,28141450
426,28143718
427,28187848
428,28213033
429,28230267
430,28231152
431,28237173
432,28263020
433,28319789
434,28322145
435,28381619
436,28381620
437,28563149
438,28631239
439,28631240
440,28636497
441,28636766
442,28636917
443,28637894
444,28638382
445,28638383
446,28639233
447,28639750
448,28656717
449,28660759
450,28691810
451,28692670
452,28692671
453,28692742
454,28692747
455,28692835
456,28692837
457,28693004
458,28716863
459,28717274
460,28717552
461,28717997
462,28774938
463,28777365
464,28787333
465,28788994
466,28789010
467,28789011
468,28789029
469,28843749
470,28867277
471,28867372
472,28867815
473,28879434
474,28901082
475,28901086
476,28902580
477,28903872
478,28903874
479,28903882
480,28908701
481,28912319
482,28918380
483,28926885
484,28935788
485,28937567
486,29005288
487,29026843
488,29050040
489,29050361
490,29051438
491,29072911
492,29328163
493,29491880
494,29491897
495,29498975
496,29506321
497,29508109
498,29508367
499,29508372
500,29508708
501,29509214
502,29509748
503,29510075
504,29510088
505,29688694
506,29688711
507,29688714
508,29714890
509,29971905
510,29971906
511,30001652
512,30015753
513,30067948
514,30088566
515,30098516
516,30135863
517,30140153
518,30242128
519,30258688
520,30261871
521,30261872
522,30263045
523,30263205
524,30263226
525,30263412
526,30287601
527,30287602
528,30287647
529,30287678
530,30287679
531,30289400
532,30289501
533,30297580
534,30383559
535,30383562
536,30471056
537,30490273
538,30528970
539,30529008
540,30529029
541,30533667
542,30544370
543,30602647
544,30603092
545,30605348
546,30618812
547,30639515
548,30646127
549,30648084
550,30681017
551,30682488
552,30682843
553,30727334
554,30727336
555,30779521
556,30816564
557,30914167
558,30926517
559,30971318
560,31235257
561,31243776
562,31243777
563,31340852
564,31464351
565,31477832
566,31513062
567,31566728
568,31715015
569,31719831
570,31730472
571,31730505
572,31804652
573,31821961
574,31822085
575,31983861
576,31984734
577,32043604
578,32280317
579,32302047
580,32342471
581,32399651
582,32402953
583,32446824
584,32489950
585,32553798
586,32560009
587,32619664
588,32620523
589,32732359
590,32761250
591,32762584
592,32872481
593,32911160
594,32933148
595,33282519
596,33283718
597,33535071
598,33607138
599,33643941
600,33790904
601,33826293
602,33887889
603,33897287
604,33899625
605,33911078
606,33925333
607,33927937
608,33971192
609,34030480
610,34030482
611,34031124
612,34031131
613,34031147
614,34031507
615,34031509
616,34098949
617,34104037
618,34119650
619,34185677
620,34294277
621,34294279
622,34375360
623,34495946
624,34501108
625,34508518
626,34572844
627,34573416
628,34587682
629,34587803
630,34732786
631,34733054
632,34824366
633,34858415
634,34858866
635,34920073
636,34939389
637,35012198
638,35029083
639,35065637
640,35066444
641,35156654
642,35164720
643,35175686
644,35354597
645,35362891
646,35380715
647,35597531
648,35607552
649,35607773
650,35672786
651,35703212
652,35721064
653,35721074
654,35722785
655,35869453
656,35873425
657,35962802
658,36327993
659,36732484
660,36732486
661,36813157
662,36813461
663,36816610
664,36878390
665,36902188
666,36904963
667,36958993
668,37076564
669,37076906
670,37101510
671,37102281
672,37280479
673,37286066
674,37296674
675,37296675
676,37353776
677,37412735
678,37624631
679,37678024
680,37780984
681,37780988
682,37859223
683,38082499
684,38325507
685,38325717
686,38336860
687,38383714
688,38454715
689,38481763
